Pantheon,Pronunciation,url,Good/Evil Rating,Celebration or Feast Day,Area of expertise,Associated with,In charge of,Birth and Death Dates,Popularity index,Name means,Name,Alternative names,Area or people,Type,Role,Related Gods,Gender
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/TAKSHAKA/,"NEUTRAL, may not care",Unknown at present,,,,,1040,,Takshâka,['Taksaka'],Bali,Demon,Unknown at present,"{'Kauravas', 'Nagas', 'Pandavas'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/UN-NEFER/,Unknown at present,Unknown at present,The Dead,,the Dead,,2917,,Un-Nefer,"['Osiris-Un-Nefer', 'Unen-Nefer', 'Unnefer', 'Wenenefer']",,God,unspecified,{'Osiris'},Male
Buddhist pantheon,Coming soon,https://www.godchecker.com/buddhist-mythology/HAYAGRIVA-2/,"OKAY, not bad",Unknown at present,Protection,,Protection,,1529,,Hayagriva (2),"['Tam Drin Sang Drup', 'Tamdrin', 'Tamdrin-Dorje']",,God,unspecified,"{'Hayagriva', 'Dharmapalas'}",Male
Chinese pantheon,Chhung Hwarng,https://www.godchecker.com/chinese-mythology/CHENG-HUANG/,"NEUTRAL, may not care",Unknown at present,"Security, Domestic Protection",,Domestic Protection,,3556,,Cheng Huang,"[""Ch'eng-Huang"", 'Chenghuang Shen', 'Chenghuangshen']",,Deities,unspecified,"{'Tu Di', 'Jade Emperor'}","Sorry, we don't know"
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-IGNATIUS-OF-LACONI/,Unknown at present,Unknown at present,,,,1701-1781,779,,Ignatius of Laconi,"['Ignazio Da Laconi', 'Vincenzo Peis']",,Saint,Unknown at present,set(),Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/THESEUS/,Unknown at present,Unknown at present,,,,,3503,,Theseus,['unspecified'],,legendary mortal,Unknown at present,"{'Heracles', 'Persephone', 'Artemis', 'Hades', 'Cerberus', 'Medea', 'Minotaur', 'Pallas (5)', 'Minos', 'Ariadne', 'Antiope', 'Helen', 'Hippolytus', 'Poseidon'}",Male
Maya pantheon,Coming soon,https://www.godchecker.com/maya-mythology/JESTER-GOD/,Unknown at present,Unknown at present,"Royalty, Kings, Queens",,Kings and Queens,,2793,,Jester God,['unspecified'],,God,unspecified,set(),Male
African pantheon,Coming soon,https://www.godchecker.com/african-mythology/MBERE/,"GOOD, quite approachable",Unknown at present,Creation,,Creating,,2282,,Mbere,['unspecified'],Bantu of the Congo,God,unspecified,{'Mebere'},Male
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/ELPIS/,Unknown at present,Unknown at present,Hope,,Hope,,6706,,Elpis,['Hope'],,Goddess,unspecified,"{'Eris', 'Pandora', 'Spes', 'Nyx'}",Female
Yoruba pantheon,Coming soon,https://www.godchecker.com/yoruba-mythology/ELUSU/,Unknown at present,Unknown at present,Water,,Water,,4260,,Elusu,"['Olokun-Su', 'Olokunsu']",Yoruba people of Nigeria and Benin,Goddess,unspecified,{'Olokun'},Female
Mesopotamian pantheon,Coming soon,https://www.godchecker.com/mesopotamian-mythology/NINGIRIMA/,Unknown at present,Unknown at present,Healing,,Healing,,1960,,Ningirima,"['Ningirama', 'Ningirim']",Akkadia,Goddess,unspecified,set(),Female
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/GJALP/,Unknown at present,Unknown at present,,,,,2019,,Gjalp,['unspecified'],,Demoness,Unknown at present,"{'Geirrod', 'Greip', 'Thor'}",Female
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/FABULINUS/,Unknown at present,Unknown at present,Education,,Education,,2206,,Fabulinus,['unspecified'],,God,unspecified,set(),Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/MUSPELLHEIM/,Unknown at present,Unknown at present,,,,,3366,,Muspellheim,"['Muspelheim', 'Muspelheimr', 'Muspell', 'Muspellsheimr']",,legendary place,Unknown at present,"{'Niflheim', 'Nine Worlds', 'Yggdrasil', 'Surt', 'Ymir', 'Ginnungagap'}","Sorry, we don't know"
Hindu pantheon,Coming soon,https://www.godchecker.com/hindu-mythology/ARYAMAN/,"GOOD, quite approachable",Unknown at present,Sun,,the Sun,,2929,,Aryaman,['Aryman'],,God,🌞,{'Âdityas'},Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-BRENDAN/,Unknown at present,May 16th,,,,484-577,807,,Brendan,"['Brendan Of Clonfert', 'Brendan The Navigator']",,Saint,Unknown at present,set(),Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-PETER-CLAVER/,Unknown at present,Unknown at present,,,,1584-1654,668,,Peter Claver,['unspecified'],,Saint,Unknown at present,set(),Male
Germanic pantheon,Coming soon,https://www.godchecker.com/germanic-mythology/GAUT/,"NEUTRAL, may not care",Unknown at present,Ancestors,,Ancestors and Ancestral Spirits,,5048,,Gaut,"['Gautaz', 'Gauti', 'Gautr', 'Geat', 'Gothus', 'Guti']",,God,unspecified,set(),Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/THRUD/,Unknown at present,Unknown at present,War,,War,,9599,,Thrud,['unspecified'],,Goddess,unspecified,"{'Sif', 'Thor', 'Valkyries'}",Female
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/ANNA-PERENNA/,"NEUTRAL, may not care",Unknown at present,Year,,Years,,1329,,Anna Perenna,['unspecified'],,Goddess,unspecified,set(),Female
Roman pantheon,Coming soon,https://www.godchecker.com/roman-mythology/JUPITER/,Unknown at present,Unknown at present,Ruling,,Ruling,,12151,,Jupiter,"['Dies Pater', 'Djous Pater', 'Iovis', 'Iupiter', 'Iuppiter', 'Jove', 'Optimus Maximus']",,God,unspecified,{'Zeus'},Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/APOYAN-TACHI/,Unknown at present,Unknown at present,"Sky, Skies",,the Sky,,1293,,Apoyan Tachi,['unspecified'],Pueblo (Zuni),God,unspecified,"{'Awitelin Tsta', 'Awonawilona'}",Male
Christian pantheon,Coming soon,https://www.godchecker.com/christian-mythology/SAINT-LAMBERT-OF-MAASTRICHT/,Unknown at present,Unknown at present,,,,???-709,784,,Lambert of Maastricht,['Lambert-Of-Maestricht'],,Saint,Unknown at present,set(),Male
Native American pantheon,Coming soon,https://www.godchecker.com/native-american-mythology/NOCUMA/,Unknown at present,Unknown at present,Creation,,Creating,,1583,,Nocuma,"['Nocoma', 'Nocumo']",Acagchemem,God,unspecified,set(),Male
Australian Aboriginal pantheon,Coming soon,https://www.godchecker.com/australian-aboriginal-mythology/MINAWARA/,"GOOD, quite approachable",Unknown at present,Creation,,Creating,,2203,,Minawara,['unspecified'],Nambutji tribe of Central Australia,God,unspecified,{'Multultu'},Male
Norse pantheon,Coming soon,https://www.godchecker.com/norse-mythology/NIBELUNGS/,Unknown at present,Unknown at present,,,,,2638,,Nibelungs,['unspecified'],,fabulous creature,Unknown at present,"{'Brunhild', 'Niflheim', 'Odin', 'Ymir'}","Sorry, we don't know"
Greek pantheon,Coming soon,https://www.godchecker.com/greek-mythology/AMPHITRYON/,Unknown at present,Unknown at present,,,,,1621,,Amphitryon,['unspecified'],,legendary mortal,Unknown at present,"{'Heracles', 'Iphicles', 'Zeus', 'Alcmena'}",Male
Egyptian pantheon,Coming soon,https://www.godchecker.com/egyptian-mythology/SATET/,Unknown at present,Unknown at present,Floods,,Flooding,,1950,,Satet,['unspecified'],,Goddess,unspecified,"{'Khnum', 'Anuket'}",Female
